,0,1,2,3,4,5,6,7,8,9
CATEGORÍAS DE LA DISCAPACIDAD__No aplica,0.002812428025822501,-0.00038753352307249907,-0.0022468418263396333,0.002525185805334262,-0.0039997937777368235,0.0008534708999680437,-0.0012871690332702755,0.0029885359150653916,-0.013943794760647426,-0.029118860244711647
CATEGORÍAS DE LA DISCAPACIDAD__Otros_CATEGORÍAS DE LA DIS,-0.9152583690970894,0.12611640086114492,0.7311976579359183,-0.821780120464262,1.3016669924080013,-0.2777480443248808,0.41888795707008086,-0.9725697804519268,4.537778294939084,9.476253362874393
VÍNCULO CON EL JEFE DE HOGAR__5- Nieto(a),-0.9262275642120089,-0.45722154128925463,0.24778889381595395,-0.33067163095468627,-0.5036546427226989,-0.39419729177903734,-0.2012241364259795,0.09382703070596567,-0.26796140727486195,0.5396659357713125
VÍNCULO CON EL JEFE DE HOGAR__Hijo(a),-0.6556774183408975,0.2875747092164896,0.031022765394800877,0.009904836860044708,0.031235228848518586,0.04078439519257826,-0.06306423532849958,0.0026857699286700343,0.07435364398848042,-0.02690147693585692
VÍNCULO CON EL JEFE DE HOGAR__No_reporta,1.1732672329626188,-0.531644089816776,-0.09702314355582037,0.003714072373694546,0.009608904764262727,0.012960899166994642,0.03434834370859767,-0.03303099624702656,-0.023034344605666307,-0.04795054876691358
VÍNCULO CON EL JEFE DE HOGAR__Otros_VÍNCULO CON EL JEFE ,-0.41020931755446055,0.7790124628209553,0.23556257950723203,0.023487105563859318,-0.1998253468653995,-0.4060742736692316,0.637471604983966,0.1748592140438583,-0.6165986929628411,0.42666230552925805
ZONA__1- Urbana,-0.10951074657161512,-0.4095247865680298,0.003084509728268671,-0.041093701556655315,-1.8324951913084554e-06,0.006869854630502837,0.01300838540506684,-0.010312946669453035,-0.027683365196011292,-0.005002270741868017
ZONA__No_reporta,0.5312519781640345,1.9951563010581543,-0.015235620057527101,0.20053140846292675,-0.0005873336821835941,-0.03367312956798698,-0.06204396803180063,0.05191948957780232,0.13316758208683027,0.025552243963761524
ZONA__Otros_ZONA,1.0244105498166285,-0.46896841458363187,0.10895242526825648,-0.21297265731148213,0.3018316894749076,0.11113940582435025,-0.6590449632549996,-0.8602358183578591,0.8301204110139032,-0.6039542093327469
BARRIO PRIORIZADO__NO,-0.9705976226260032,-0.2882804533513342,-0.5115144761977845,-0.24856298812572838,-0.24068609170300329,-0.03855996088090638,0.2391681705678528,0.14536788986949142,-0.021494510617713406,-0.009999368368779932
BARRIO PRIORIZADO__No,-0.6195002014273266,-0.25802644294202537,3.099099226743865,-0.3967738486318073,0.06567387639343264,-0.7876165345966133,-0.12221234000862724,-0.650781149146332,0.2499069950071064,-0.07131567866499473
BARRIO PRIORIZADO__No_reporta,0.9244544190153229,0.287325593413293,-0.08208337937276917,0.06063195046889863,-0.010372512886581612,0.0024455085191595533,0.02450044392121728,-0.022318627344217804,0.08019737582964215,-0.022579657078758707
BARRIO PRIORIZADO__Otros_BARRIO PRIORIZADO,-0.696302442649659,-0.31073518314239973,2.9443444081893233,2.268872942029736,0.6355687319724181,6.6401625068719,0.7072933040452638,5.78847510490318,-0.036346596289838815,0.3280120166625608
BARRIO PRIORIZADO__SI,-0.9990868968887179,-0.29632907336196973,-0.4979250688220332,0.9446269751820511,1.140398146520034,0.14006597421611228,-1.3513431309665425,-0.6462255751406828,-0.7300823298093869,0.24602024246422252
MANZANA DEL CUIDADO__NO,-0.9712745224915798,-0.28131478788030284,-0.5151292633066078,-0.2766369416649546,-0.11972629595819405,-0.050324218617832865,0.12684317238236564,0.17445439607028126,-0.03830555588017184,-0.0030846361993224353
MANZANA DEL CUIDADO__No,-0.6188016444951181,-0.25346180837091137,3.0859817784015715,-0.38570404747757236,0.09366352463688547,-0.7089015760458118,-0.13409253232744506,-0.5418641023339249,0.2411720476227035,-0.054676401271089345
